iter	Passed	Remaining
1606	11485	488811
1607	11492	488807
1608	11499	488810
1609	11507	488806
1610	11514	488791
1611	11521	488783
1612	11527	488755
1613	11534	488722
1614	11541	488705
1615	11548	488694
1616	11555	488672
1617	11562	488651
1618	11569	488656
1619	11576	488646
1620	11583	488624
1621	11589	488582
1622	11596	488575
1623	11603	488563
1624	11610	488524
1625	11617	488504
1626	11623	488481
1627	11630	488467
1628	11637	488452
1629	11644	488433
1630	11651	488418
1631	11658	488391
1632	11664	488354
1633	11671	488323
1634	11678	488317
1635	11685	488303
1636	11692	488300
1637	11700	488305
1638	11706	488285
1639	11714	488282
1640	11721	488281
1641	11729	488294
1642	11735	488274
1643	11742	488240
1644	11749	488241
1645	11756	488216
1646	11763	488203
1647	11770	488194
1648	11778	488198
1649	11785	488192
1650	11791	488151
1651	11798	488126
1652	11804	488101
1653	11811	488088
1654	11819	488104
1655	11827	488145
1656	11836	488181
1657	11843	488197
1658	11851	488210
1659	11859	488220
1660	11867	488252
1661	11874	488264
1662	11881	488261
1663	11888	488236
1664	11895	488229
1665	11903	488224
1666	11909	488195
1667	11916	488160
1668	11923	488144
1669	11929	488118
1670	11936	488100
1671	11943	488101
1672	11950	488078
1673	11957	488057
